document1,document2,cosine,year1,year2,company1,company2
ADS - 2016,ADS - 2017,0.68296880258041,2016,2017,ADS,ADS
ADS - 2016,ADS - 2018,0.67341583030047,2016,2018,ADS,ADS
ADS - 2017,ADS - 2018,0.9826948323068,2017,2018,ADS,ADS
ADS - 2016,ADS - 2019,0.68811271833205,2016,2019,ADS,ADS
ADS - 2017,ADS - 2019,0.97914743002045,2017,2019,ADS,ADS
ADS - 2018,ADS - 2019,0.98721829139899,2018,2019,ADS,ADS
ADS - 2016,ADS - 2020,0.68542082245671,2016,2020,ADS,ADS
ADS - 2017,ADS - 2020,0.96014016892356,2017,2020,ADS,ADS
ADS - 2018,ADS - 2020,0.96655080897419,2018,2020,ADS,ADS
ADS - 2019,ADS - 2020,0.99066317316105,2019,2020,ADS,ADS
ADS - 2016,ADS - 2021,0.65838395824084,2016,2021,ADS,ADS
ADS - 2017,ADS - 2021,0.9484214771956,2017,2021,ADS,ADS
ADS - 2018,ADS - 2021,0.95705371062507,2018,2021,ADS,ADS
ADS - 2019,ADS - 2021,0.97623117662275,2019,2021,ADS,ADS
ADS - 2020,ADS - 2021,0.98711872867294,2020,2021,ADS,ADS
ADS - 2016,AES - 2015,0.6145268767305,2016,2015,ADS,AES
ADS - 2017,AES - 2015,0.85795417766133,2017,2015,ADS,AES
ADS - 2018,AES - 2015,0.84918890122687,2018,2015,ADS,AES
ADS - 2019,AES - 2015,0.83812235093009,2019,2015,ADS,AES
ADS - 2020,AES - 2015,0.81703686758453,2020,2015,ADS,AES
ADS - 2021,AES - 2015,0.80535578468629,2021,2015,ADS,AES
ADS - 2016,AES - 2016,0.62580340980658,2016,2016,ADS,AES
ADS - 2017,AES - 2016,0.85613508353728,2017,2016,ADS,AES
ADS - 2018,AES - 2016,0.84624697860227,2018,2016,ADS,AES
ADS - 2019,AES - 2016,0.8393753872078,2019,2016,ADS,AES
ADS - 2020,AES - 2016,0.81935304495938,2020,2016,ADS,AES
ADS - 2021,AES - 2016,0.80374946519053,2021,2016,ADS,AES
AES - 2015,AES - 2016,0.97348992596388,2015,2016,AES,AES
ADS - 2016,AES - 2017,0.64427720264675,2016,2017,ADS,AES
ADS - 2017,AES - 2017,0.88478543877455,2017,2017,ADS,AES
